Timestep,Phase Type,Phase Name,Species,Mole Percentage
5,solution,gas_ideal,F,1.5548429984128855
5,solution,gas_ideal,F2,23.013376867134994
5,solution,gas_ideal,He,20.249291742039194
5,solution,gas_ideal,La,6.004956130860519e-151
5,solution,gas_ideal,La2,2.4528318429753382e-197
5,solution,gas_ideal,LaF3,6.752244364421729e-16
5,solution,gas_ideal,Li,1.792620230962182e-33
5,solution,gas_ideal,Li2,1.4627490307786038e-66
5,solution,gas_ideal,Li2BeF4,9.176970449562011e-07
5,solution,gas_ideal,Li2F2,1.2106486078133848e-07
5,solution,gas_ideal,Li2ZrF6,9.791238896243013e-11
5,solution,gas_ideal,Li3F3,1.729949575074483e-09
5,solution,gas_ideal,LiBeF3,3.4551638397306334e-05
5,solution,gas_ideal,LiF,8.150557632373438e-07
5,solution,gas_ideal,LiUF5,1.7762857841661146e-08
5,solution,gas_ideal,LiZr2F9,1.5090033334392179e-15
5,solution,gas_ideal,Nd,1.383561026142521e-139
5,solution,gas_ideal,NdF3,3.734747372915377e-15
5,solution,gas_ideal,Ne,0.4265239009703316
5,solution,gas_ideal,Pu,1.730111843001979e-139
5,solution,gas_ideal,PuF,1.5994552470222088e-102
5,solution,gas_ideal,PuF2,2.645902630573685e-50
5,solution,gas_ideal,PuF3,1.264111168178731e-21
5,solution,gas_ideal,PuF4,4.947072384702901e-131
5,solution,gas_ideal,PuF6,54.755687225355324
5,solution,gas_ideal,Rb,1.3141915145551472e-32
5,solution,gas_ideal,Rb2,2.356764599939961e-67
5,solution,gas_ideal,Rb2F2,2.1472516487742116e-18
5,solution,gas_ideal,RbF,8.328865942928044e-11
5,solution,gas_ideal,Sr,7.496194368266472e-67
5,solution,gas_ideal,Sr2,3.373474344469315e-159
5,solution,gas_ideal,SrF,4.0860509726352706e-42
5,solution,gas_ideal,SrF2,1.3545979198407418e-17
5,solution,gas_ideal,U,5.669803080362719e-153
5,solution,gas_ideal,UF3,6.346644718831765e-34
5,solution,gas_ideal,UF4,4.6825557564637765e-07
5,solution,gas_ideal,Zr,1.064976689566405e-149
5,solution,gas_ideal,ZrF,5.739247722403984e-122
5,solution,gas_ideal,ZrF2,4.405584259882545e-63
5,solution,gas_ideal,ZrF3,1.2304626971306986e-35
5,solution,gas_ideal,ZrF4,1.7031223443459508e-07
6,solution,bccsoln,Mo,99.09734708448234
6,solution,bccsoln,Pd,0.015694270082637636
6,solution,bccsoln,Ru,0.758301792763978
6,solution,bccsoln,Tc,0.1286568526710462
6,solution,cphsoln,Mo,23.994690021207674
6,solution,cphsoln,Pd,8.57483093574023
6,solution,cphsoln,Ru,67.42161221455862
6,solution,cphsoln,Tc,0.008866828493469607
6,solution,gas_ideal,Ba,6.987651654896971e-69
6,solution,gas_ideal,Ba2,6.261351729268699e-162
6,solution,gas_ideal,BaF,4.0790790002718743e-41
6,solution,gas_ideal,BaF2,7.966622663868823e-16
6,solution,gas_ideal,Be,8.01038824333496e-63
6,solution,gas_ideal,Be2,1.0127077670347334e-149
6,solution,gas_ideal,Be2F4,1.3366752936730881e-08
6,solution,gas_ideal,BeF,2.8498942876784006e-36
6,solution,gas_ideal,BeF2,0.00024013978264377203
6,solution,gas_ideal,Ce,3.2569524455078883e-144
6,solution,gas_ideal,Ce2,2.0276853076440534e-197
6,solution,gas_ideal,CeF3,9.69910489383295e-15
6,solution,gas_ideal,Cs,2.6274843149121628e-36
6,solution,gas_ideal,Cs2,1.336447346147412e-109
6,solution,gas_ideal,Cs2Be2F6,5.647280467548138e-20
6,solution,gas_ideal,Cs2F2,4.8461694063699864e-24
6,solution,gas_ideal,Cs2ZrF6,1.5044589048136245e-24
6,solution,gas_ideal,CsBeF3,5.572121099518087e-10
6,solution,gas_ideal,CsF,1.0534110035459842e-12
6,solution,gas_ideal,CsUF5,2.668783435256328e-12
6,solution,gas_ideal,CsZr2F9,2.5114001429733122e-18
6,solution,gas_ideal,CsZrF5,7.65728291879896e-14
6,solution,gas_ideal,F,1.5881255579938192
6,solution,gas_ideal,F2,24.009158287882393
6,solution,gas_ideal,He,19.934028437536416
6,solution,gas_ideal,La,1.0583119941099215e-150
6,solution,gas_ideal,La2,2.0276853076440534e-197
6,solution,gas_ideal,LaF3,7.894294016307925e-16
6,solution,gas_ideal,Li,1.7552813078043516e-33
6,solution,gas_ideal,Li2,1.4024477439517784e-66
6,solution,gas_ideal,Li2BeF4,9.177507691890702e-07
6,solution,gas_ideal,Li2F2,1.2109649171608663e-07
6,solution,gas_ideal,Li2ZrF6,1.1675437759427868e-10
6,solution,gas_ideal,Li3F3,1.7306276020550487e-09
6,solution,gas_ideal,LiBeF3,3.454914805657859e-05
6,solution,gas_ideal,LiF,8.151622321742065e-07
6,solution,gas_ideal,LiUF5,1.7753177681047964e-08
6,solution,gas_ideal,LiZr2F9,2.1448210801582362e-15
6,solution,gas_ideal,Nd,1.9657598520397794e-139
6,solution,gas_ideal,NdF3,4.548445395703512e-15
6,solution,gas_ideal,Ne,0.34984412111079977
6,solution,gas_ideal,Pu,2.971414903451009e-141
6,solution,gas_ideal,PuF,8.800082753209155e-104
6,solution,gas_ideal,PuF2,2.402689976559989e-50
6,solution,gas_ideal,PuF3,1.1724853890353467e-21
