Timestep,Cr2+/Cr3+ Ratio
124,2.7058224619e-18
125,2.7033409716e-18
126,2.7025173847e-18
127,2.6985502431e-18
128,2.6978801614e-18
129,2.6946577690e-18
130,2.6939728028e-18
131,2.6930351825e-18
132,2.6901327891e-18
133,2.6892649405e-18
134,2.6860522619e-18
136,2.6833027612e-18
137,2.6827532737e-18
138,2.6805430463e-18
139,2.6780032800e-18
140,2.6768286300e-18
141,2.6749712815e-18
142,2.6594918012e-18
143,2.6718582473e-18
144,2.6697835649e-18
145,2.6685526019e-18
147,2.6656110391e-18
148,2.6651539320e-18
149,2.6617156069e-18
150,2.6611737459e-18
151,2.6602749306e-18
152,2.6563510514e-18
153,2.6549432317e-18
154,2.6544379310e-18
155,2.6528071743e-18
156,2.6507008805e-18
157,2.6492766171e-18
158,2.6473165473e-18
159,2.6456150552e-18
160,2.6444340884e-18
161,2.6427209389e-18
162,2.6422853796e-18
163,2.6399097453e-18
164,2.6376926115e-18
165,2.6373002140e-18
166,2.6347949923e-18
169,2.6307845535e-18
170,2.6294744856e-18
171,2.6274458075e-18
173,2.6235864834e-18
174,2.6221353805e-18
175,2.6198444957e-18
176,2.6184210805e-18
177,2.6176687057e-18
178,2.6172978557e-18
179,2.6137685716e-18
180,2.6126562884e-18
181,2.6111809488e-18
182,2.6092054752e-18
183,2.6087340441e-18
184,2.6078241993e-18
185,2.6056524243e-18
186,2.6053195453e-18
187,2.6040520800e-18
188,2.6033268905e-18
189,2.5984684680e-18
190,2.5980771460e-18
191,2.5974091093e-18
192,2.5966143485e-18
193,2.5939781448e-18
194,2.5923826816e-18
196,2.5904946953e-18
197,2.5883314700e-18
198,2.5854015411e-18
199,2.5850956538e-18
200,2.5842049038e-18
201,2.5829599086e-18
202,2.5813192378e-18
203,2.5809858390e-18
204,2.5792098407e-18
205,2.5789216451e-18
206,2.5757598901e-18
207,2.5830970907e-18
209,2.5714558908e-18
210,2.5708222236e-18
211,2.5680008324e-18
212,2.5677163619e-18
213,2.5663009005e-18
214,2.5645166588e-18
215,2.5632302102e-18
216,2.5624455819e-18
217,2.5601917075e-18
218,2.5595724236e-18
219,2.5592947056e-18
221,2.5552122883e-18
222,2.5549636930e-18
223,2.5525880125e-18
224,2.5522623755e-18
225,2.5501285796e-18
226,2.5482936958e-18
227,2.5466150522e-18
228,2.5460964296e-18
229,2.5457798365e-18
230,2.5444620475e-18
231,2.5411384771e-18
232,2.5409228110e-18
233,2.5393686992e-18
234,2.5391370347e-18
235,2.5368073911e-18
236,2.5359614708e-18
237,2.5346270669e-18
238,2.5320079661e-18
239,2.5318610389e-18
240,2.5304805269e-18
242,2.5283563314e-18
243,2.5261835596e-18
244,2.5252694592e-18
245,2.5226182375e-18
246,2.5222728843e-18
247,2.5220465939e-18
248,2.5216268792e-18
249,2.5179918903e-18
250,2.5176078868e-18
251,2.5134104460e-18
252,2.5131099086e-18
253,2.5129002664e-18
254,2.5127103983e-18
255,2.5125127803e-18
256,2.5098574827e-18
257,2.5096705503e-18
258,2.5082948277e-18
259,2.5067188450e-18
260,2.5141908379e-18
261,2.5030545338e-18
262,2.5029406609e-18
264,2.5018399278e-18
265,2.4987219840e-18
266,2.4970789563e-18
267,2.4969054247e-18
269,2.4923449180e-18
270,2.5013563283e-18
271,2.4917527770e-18
272,2.4922672273e-18
273,2.4891754946e-18
275,2.4872892713e-18
276,2.4852500456e-18
277,2.4850041313e-18
279,2.4811133893e-18
281,2.4787132384e-18
282,2.4785824677e-18
283,2.4763310254e-18
284,2.4796447237e-18
285,2.4758826085e-18
286,2.4732106256e-18
287,2.4721232571e-18
288,2.4712049971e-18
289,2.4711032569e-18
290,2.4677911882e-18
