Timestep,Salt:MSFL,Gas:gas_ideal,Solid:bccsoln,Solid:cphsoln
87,0.6491381938878252,0.0007041542710612436,1.2793786105020277e-05,0.0
88,0.64913775232311,0.0007108888045667739,1.2912600370307257e-05,0.0
89,0.64913703731362,0.0007179513598660875,1.3036797460581645e-05,0.0
92,0.649135149818469,0.0007394427341269939,1.3416079019324978e-05,0.0
93,0.6491347282198937,0.0007462256395631358,1.3535977943713616e-05,0.0
94,0.6491343847843783,0.0007526225705139807,1.36490149784777e-05,0.0
95,0.6491336774516815,0.0007598763580013767,1.3776966963895612e-05,0.0
96,0.6491333805912316,0.0007664085441107077,1.3892775348392696e-05,0.0
97,0.6491328922140419,0.0007732825959846106,1.4014152491498285e-05,0.0
99,0.6491317934818026,0.0007874935658246692,1.426591870774288e-05,0.0
100,0.6491310759930911,0.0007947401274484661,1.4393347547032641e-05,0.0
101,0.6491308363360183,0.0008010020354069185,1.450394469902564e-05,0.0
102,0.6491305783179132,0.0008072182260482067,1.4613875275746866e-05,0.0
103,0.6491298612489267,0.0008145634872749288,1.4743192186080807e-05,0.0
104,0.6491296161624811,0.0008209818616076471,1.485665774308565e-05,0.0
105,0.6491292103376908,0.0008278861168318654,1.4979447833267111e-05,0.0
106,0.6491289682681644,0.000834273021395652,1.509235542363345e-05,0.0
107,0.6491286262826842,0.0008410758636274965,1.521255201978694e-05,0.0
109,0.6491280274897719,0.000854004625097146,1.5441887253160174e-05,0.0
110,0.6491273463839676,0.0008612696974606092,1.5569554048868927e-05,0.0
111,0.6491271981009548,0.0008672294388207746,1.5674549093010405e-05,0.0
112,0.6491268556273471,0.0008738961914516928,1.579249228685818e-05,0.0
113,0.6491265316348236,0.000880579576062595,1.5910802622501957e-05,0.0
114,0.649126304439469,0.0008869182297311484,1.6023188886971767e-05,0.0
115,0.6491260752101314,0.0008929980235437734,1.6130456741945958e-05,0.0
117,0.6491251244832321,0.0009069319075651663,1.6376682355628876e-05,0.0
118,0.6491250534604811,0.0009124009863243784,1.647309427866539e-05,0.0
119,0.6491246169957883,0.0009196344285706611,1.6601370010682872e-05,0.0
