Timestep,Phase Type,Phase Name,Component,Mole Percentage
1,gas,gas_ideal,MgF2,2.8164449206965755e-30
1,gas,gas_ideal,Mn,5.914988150271915e-81
1,gas,gas_ideal,Mn2,4.158541045527387e-167
1,gas,gas_ideal,Mn2F4,1.2967660070100438e-26
1,gas,gas_ideal,MnF,2.4108559976531367e-54
1,gas,gas_ideal,MnF2,2.3272810815466797e-22
1,gas,gas_ideal,Nd,1.7068350232823281e-155
1,gas,gas_ideal,NdF3,6.771282355394739e-16
1,gas,gas_ideal,Ne,2.4165057038967674
1,gas,gas_ideal,Np,2.4106062617426e-161
1,gas,gas_ideal,NpF3,6.407052523287021e-38
1,gas,gas_ideal,NpF4,5.531431685874995e-11
1,gas,gas_ideal,Pm,3.948136463454974e-69
1,gas,gas_ideal,Pm2,2.7757430986342857e-155
1,gas,gas_ideal,Pm2F4,8.655654122671237e-15
1,gas,gas_ideal,PmF,1.6091982317895098e-42
1,gas,gas_ideal,PmF2,1.5534136443436455e-10
1,gas,gas_ideal,Pr,1.7955358011231757e-68
1,gas,gas_ideal,Pr2,1.2623540636072743e-154
1,gas,gas_ideal,Pr2F4,3.936423424887239e-14
1,gas,gas_ideal,PrF,7.318321094083244e-42
1,gas,gas_ideal,PrF2,7.064623622283387e-10
1,gas,gas_ideal,Pu,3.34388736968026e-141
1,gas,gas_ideal,PuF,2.4593638975393154e-102
1,gas,gas_ideal,PuF2,1.0675258347559489e-50
1,gas,gas_ideal,PuF3,5.968020458297961e-22
1,gas,gas_ideal,PuF4,1.2367806910487623e-132
1,gas,gas_ideal,PuF6,41.41863347710456
1,gas,gas_ideal,Ra,1.4791224162787944e-81
1,gas,gas_ideal,Ra2,3.530215814101967e-176
1,gas,gas_ideal,RaF,9.891842552899848e-54
1,gas,gas_ideal,RaF2,2.2132554000782187e-28
1,gas,gas_ideal,Rb,2.5978067826868343e-33
1,gas,gas_ideal,Rb2,9.20770268903976e-69
1,gas,gas_ideal,Rb2F2,1.1488420366741435e-19
1,gas,gas_ideal,RbF,1.9265245987649654e-11
1,gas,gas_ideal,Sc,1.7858171631625945e-173
1,gas,gas_ideal,Sc2,1.0033078614566434e-209
1,gas,gas_ideal,ScF3,1.3460313901819197e-28
1,gas,gas_ideal,Sm,2.0416185487810237e-156
1,gas,gas_ideal,SmF3,8.099421131646691e-17
1,gas,gas_ideal,Sr,1.3162730064354951e-67
1,gas,gas_ideal,Sr2,1.2083734068470973e-158
1,gas,gas_ideal,SrF,8.395555082649381e-43
1,gas,gas_ideal,SrF2,3.256840864920433e-18
1,gas,gas_ideal,Tb,1.503035845912192e-175
1,gas,gas_ideal,Tb2,1.4582675452595682e-200
1,gas,gas_ideal,TbF3,1.8644087421277296e-20
1,gas,gas_ideal,Tm,1.002848842578263e-149
1,gas,gas_ideal,TmF,7.375757510522553e-111
1,gas,gas_ideal,TmF2,3.201564315576108e-59
1,gas,gas_ideal,TmF3,1.789839712711313e-30
1,gas,gas_ideal,TmF4,3.7091682446828113e-141
1,gas,gas_ideal,TmF6,1.2421659000930794e-07
1,gas,gas_ideal,U,2.046090228716816e-157
1,gas,gas_ideal,UF3,5.4382201568232674e-34
1,gas,gas_ideal,UF4,4.6950049466402265e-07
1,gas,gas_ideal,V,2.620390458944013e-85
1,gas,gas_ideal,V2,1.8422693337646136e-171
1,gas,gas_ideal,V2F4,5.7447845810068685e-31
1,gas,gas_ideal,VF,1.0680298748946464e-58
1,gas,gas_ideal,VF2,1.0310054705833141e-26
1,gas,gas_ideal,Y,7.391696053041069e-172
1,gas,gas_ideal,Y2,7.171532527244037e-197
1,gas,gas_ideal,YF3,9.168871639303474e-17
1,gas,gas_ideal,Yb,3.0164894163898784e-164
1,gas,gas_ideal,YbF3,1.1966886829610814e-24
1,gas,gas_ideal,Zr,7.7930895224025e-160
1,gas,gas_ideal,ZrF,3.3066637540982074e-133
1,gas,gas_ideal,ZrF2,6.909179373396832e-64
1,gas,gas_ideal,ZrF3,2.2580414358386473e-36
1,gas,gas_ideal,ZrF4,3.657209176518491e-08
1,salt,MSFL,Anion:F,100.0
1,salt,MSFL,Cation:Ac[3+],6.609684938619226e-17
1,salt,MSFL,Cation:Ba[2+],0.00012742372842171297
1,salt,MSFL,Cation:Be[CN=IV,5.256590770172984
1,salt,MSFL,Cation:Be[Dimer,15.871913328771884
1,salt,MSFL,Cation:Bk[CN=IV,9.525262812129943e-18
1,salt,MSFL,Cation:Bk[Dimer,2.876087418593653e-17
1,salt,MSFL,Cation:Ca[2+],2.1490899365961538e-16
1,salt,MSFL,Cation:Ce[3+],0.0004622515431617013
1,salt,MSFL,Cation:Cf[CN=IV,3.4197797835417816e-17
1,salt,MSFL,Cation:Cf[Dimer,1.0325789223663541e-16
1,salt,MSFL,Cation:Cs[1+],2.2239753030087584e-05
1,salt,MSFL,Cation:Dy[CN=IV,3.305248094858171e-10
1,salt,MSFL,Cation:Dy[Dimer,9.979968687946942e-10
1,salt,MSFL,Cation:Er[CN=IV,6.1200194401069325e-12
1,salt,MSFL,Cation:Er[Dimer,1.8478976654402888e-11
1,salt,MSFL,Cation:Es[3+],9.933817942923045e-17
1,salt,MSFL,Cation:Eu[3+],3.740448140527645e-06
1,salt,MSFL,Cation:Gd[3+],3.161130049816886e-07
1,salt,MSFL,Cation:Hf[CN=VI,1.2077534366189628e-16
1,salt,MSFL,Cation:Hf[Dimer,2.6211528645642027e-22
1,salt,MSFL,Cation:Ho[CN=IV,1.1419122764660691e-11
1,salt,MSFL,Cation:Ho[Dimer,3.447925370940301e-11
1,salt,MSFL,Cation:In[CN=IV,2.431540913650805e-10
1,salt,MSFL,Cation:In[Dimer,7.341870106346199e-10
1,salt,MSFL,Cation:La[3+],0.00010893841007436427
1,salt,MSFL,Cation:Li[1+],73.99945307241401
1,salt,MSFL,Cation:Lu[3+],6.905976568733746e-17
1,salt,MSFL,Cation:Mg[2+],1.0745499880425417e-16
1,salt,MSFL,Cation:Mn[CN=IV,5.089082371139037e-18
1,salt,MSFL,Cation:Mn[Dimer,1.5366133269499618e-17
1,salt,MSFL,Cation:Nd[3+],0.0002874749852542883
1,salt,MSFL,Cation:Np[3+],4.530046358212544e-25
1,salt,MSFL,Cation:Np[CN=VII,6.294686493022159e-05
1,salt,MSFL,Cation:Np[CN=VI],0.00039660344128821976
1,salt,MSFL,Cation:Np[Dimer],0.00011412765074892183
1,salt,MSFL,Cation:Pm[CN=IV,3.3968608498558487e-06
1,salt,MSFL,Cation:Pm[Dimer,1.0256587083920213e-05
1,salt,MSFL,Cation:Pr[CN=IV,1.5448263563849912e-05
1,salt,MSFL,Cation:Pr[Dimer,4.664496649743606e-05
1,salt,MSFL,Cation:Pu[3+],2.35137519462281e-10
1,salt,MSFL,Cation:Ra[2+],1.1366018380990873e-16
1,salt,MSFL,Cation:Rb[1+],8.471507147079113e-07
1,salt,MSFL,Cation:Sc[3+],3.581755966950533e-17
1,salt,MSFL,Cation:Sm[3+],3.4386115482739574e-05
1,salt,MSFL,Cation:Sr[2+],0.00012425729637883943
1,salt,MSFL,Cation:Tb[3+],2.7464332504332294e-08
1,salt,MSFL,Cation:Tm[3+],7.05189389384308e-19
1,salt,MSFL,Cation:U[3+],3.845042525722352e-21
1,salt,MSFL,Cation:U[CN=VII,0.5342845379028394
1,salt,MSFL,Cation:U[CN=VI],3.366316759289738
1,salt,MSFL,Cation:U[Dimer],0.968700176091672
