Timestep,Salt:MSFL,Gas:gas_ideal,Solid:BaF2_FM3M_No.225(s),Solid:BeF2_L1(liq),Solid:C2_c,Solid:CsBe2F5_S2(s2),Solid:FM3M,Solid:Li2BeF4_S1(s),Solid:P3c1,Solid:R3c,Solid:SrF2_FM3M_No.225(s),Solid:bccsoln,Solid:cphsoln
65,0.649182703436309,0.000408330223485342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.41966706668491e-06,0.0
66,0.6491822902215006,0.00041148500029552143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.473052596806481e-06,0.0
67,0.6491816851102399,0.000415740790847066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.545702602321589e-06,0.0
68,0.6491811164370267,0.0004200441559415591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.619535582613182e-06,0.0
69,0.6491802301120067,0.00042520367574149285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.709731663219301e-06,0.0
70,0.6491803230164012,0.0004273272070197116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.745188707479518e-06,0.0
71,0.6491798892112135,0.0004309472583713855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.806179566838291e-06,0.0
72,0.6491786245438165,0.0004368920946636018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.90956990761215e-06,0.0
73,0.6491782339934906,0.000439763563219418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.958047006448852e-06,0.0
74,0.6491782577082847,0.00044177425535107164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.991963784724429e-06,0.0
75,0.649177814602072,0.00044553777031278743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.056320650397998e-06,0.0
76,0.6491772550667966,0.00044897927008108907,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.116611851823621e-06,0.0
78,0.6491761963481322,0.00045669986604286874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.251620001870878e-06,0.0
79,0.6491757238474315,0.0004598229673740482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.305851370915157e-06,0.0
81,0.6491744904472745,0.00046856302770737006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.455914855770205e-06,0.0
82,0.6491744213518128,0.0004709211838246125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.496357824377174e-06,0.0
83,0.6491743398626152,0.000473316143790796,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.537925363888092e-06,0.0
84,0.6491742736609936,0.00047562027623305895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.577442533701593e-06,0.0
85,0.6491732718385238,0.0004813537835162761,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.678252120881488e-06,0.0
86,0.6491729465068414,0.0004837619865471399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.718900694885444e-06,0.0
87,0.649172468269941,0.00048688268237035375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.773284940971189e-06,0.0
88,0.6491719526896,0.0004897448221314338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.822303240538929e-06,0.0
89,0.6491714870146567,0.0004936259282765492,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.88772786362549e-06,0.0
90,0.6491714734931984,0.0004956824931778609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.923231004154906e-06,0.0
91,0.6491709177292735,0.0004988587712277018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.977965373786131e-06,0.0
92,0.6491702749649371,0.000502837902684734,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.045418799574034e-06,0.0
93,0.6491704268221843,0.0005045651991142353,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.074983899806207e-06,0.0
94,0.649169761271529,0.0005092221190024814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.156398473789252e-06,0.0
95,0.6491699021727956,0.0005105817883208957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.178758197823075e-06,0.0
96,0.0,0.0005133452094611223,4.6922844693337685e-06,3.331718015682008e-05,0.01977878193386222,4.866749773534347e-08,1.2365517747578297e-07,0.12837325034271319,0.00016487113147484043,1.12245574944715e-06,1.3596730976136859e-05,9.225486663408056e-06,0.0
97,0.6491693934353122,0.0005153842272868072,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.260987019703944e-06,0.0
98,0.6491684336847735,0.0005207293041203224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.355388009993883e-06,0.0
99,0.6491689055975607,0.0005210302588941425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.358524480423546e-06,0.0
100,0.6491683787591932,0.0005242157850079593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.414557861332429e-06,0.0
101,0.6491677727261612,0.0005284841243263368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.48898545187446e-06,0.0
102,0.649167218236837,0.0005316707681416091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.544627915373179e-06,0.0
104,0.6491667833232824,0.000536947791171445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.635188078916323e-06,0.0
105,0.6491669332211499,0.0005381259701184352,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.65473619704371e-06,0.0
106,0.6491664403531464,0.0005416631340746843,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.715077462262109e-06,0.0
107,0.6491660569673464,0.000544152679267281,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.75781414672495e-06,0.0
